040T22550S60_7_  	1-DD1.13: 19
040T22550S60_7_B 	
040T22550S60_7_F 	1-DD1.13: 23
040T22000S37_1_H 	1-DD1.13: 24
040T22000S37_1_I 	1-DD1.13: 25
040T22000S37_1_C 	1-DD1.13: 26
040T22000S37_1_D 	1-DD1.13: 27
040T22000S37_1_T 	1-DD1.13: 28
040T22000S37_1_A 	1-DD1.13: 29
040T22000S37_1_E 	1-DD1.13: 32
040T22000S37_1_  	1-DD1.13: 33
040T22000S37_1_F 	
040T22000S37_2_H 	1-DD1.7: 2
040T22000S37_2_I 	1-DD1.7: 3
040T22000S37_2_C 	1-DD1.7: 4
040T22000S37_2_D 	1-DD1.7: 5
040T22000S37_2_T 	1-DD1.7: 6
040T22000S37_2_A 	1-DD1.7: 7
040T22000S37_2_E 	1-DD1.7: 8
040T22000S37_2_B 	1-DD1.7: 9
040T22000S37_2_  	1-DD1.7: 12
040T22000S51_3_H 	
040T22000S51_3_I 	1-DD1.7: 14
040T22000S51_3_C 	1-DD1.7: 15
040T22000S51_3_D 	1-DD1.7: 16
040T22000S51_3_T 	1-DD1.7: 17
040T22000S51_3_A 	1-DD1.7: 18
040T22000S51_3_E 	1-DD1.7: 19
040T22000S51_3_B 	1-DD1.7: 22
040T22000S51_3_F 	1-DD1.7: 23
040T22000S37_4_  	1-DD1.7: 24
040T22000S37_4_I 	
040T22000S37_4_C 	1-DD1.7: 26
040T22000S37_4_D 	1-DD1.7: 27
040T22000S37_4_T 	1-DD1.7: 28
040T22000S37_4_A 	1-DD1.7: 29
040T22000S37_4_E 	1-DD1.7: 32
040T22000S37_4_B 	1-DD1.7: 33
040T22000S37_4_F 	1-DD1.7: 34
040T22000S37_5_H 	
040T22000S37_5_I 	2-DD1.3: 3
040T22000S37_5_C 	2-DD1.3: 4
040T22000S37_5_D 	2-DD1.3: 5
040T22000S37_5_T 	2-DD1.3: 6
040T22000S37_5_A 	2-DD1.3: 7
040T22000S37_5_E 	2-DD1.3: 8
040T22000S37_5_B 	2-DD1.3: 9
040T22000S37_5_F 	2-DD1.3: 12
040T22000S61_6_  	2-DD1.3: 13
040T22000S61_6_I 	
040T22000S61_6_C 	2-DD1.3: 15
040T22000S61_6_D 	2-DD1.3: 16
040T22000S61_6_T 	2-DD1.3: 17
040T22000S61_6_A 	2-DD1.3: 18
040T22000S61_6_E 	2-DD1.3: 19
040T22000S61_6_B 	2-DD1.3: 22
040T22000S61_6_F 	2-DD1.3: 23
040T22000S61_11_H 	2-DD1.3: 24
040T22000S61_11_  	2-DD1.3: 25
040T22000S61_11_C 	
040T22000S61_11_D 	2-DD1.3: 27
040T22000S61_11_T 	2-DD1.3: 28
040T22000S61_11_A 	2-DD1.3: 29
040T22000S61_11_E 	2-DD1.3: 32
040T22000S61_11_B 	2-DD1.3: 33
040T22000S61_11_F 	2-DD1.3: 34
040T22001S37_1_H 	2-DD1.10: 2
040T22001S37_1_  	2-DD1.10: 3
040T22001S37_1_C 	
040T22001S37_1_D 	2-DD1.10: 5
040T22001S37_1_T 	2-DD1.10: 6
040T22001S37_1_A 	2-DD1.10: 7
040T22001S37_1_E 	2-DD1.10: 8
040T22001S37_1_B 	2-DD1.10: 9
040T22001S37_1_F 	2-DD1.10: 12
040T22001S37_2_H 	2-DD1.10: 13
040T22001S37_2_I 	2-DD1.10: 14
040T22001S37_2_  	2-DD1.10: 15
040T22001S37_2_D 	
040T22001S37_2_T 	2-DD1.10: 17
040T22001S37_2_A 	2-DD1.10: 18
040T22001S37_2_E 	2-DD1.10: 19
040T22001S37_2_B 	2-DD1.10: 22
040T22001S37_2_F 	2-DD1.10: 23
040T22001S51_3_H 	2-DD1.10: 24
040T22001S51_3_I 	2-DD1.10: 25
040T22001S51_3_C 	2-DD1.10: 26
040T22001S51_3_  	2-DD1.10: 27
040T22001S51_3_T 	
040T22001S51_3_A 	2-DD1.10: 29
040T22001S51_3_E 	2-DD1.10: 32
040T22001S51_3_B 	2-DD1.10: 33
040T22001S51_3_F 	2-DD1.10: 34
040T22001S37_4_H 	2-DD1.4: 2
040T22001S37_4_I 	2-DD1.4: 3
040T22001S37_4_C 	2-DD1.4: 4
040T22001S37_4_D 	2-DD1.4: 5
040T22001S37_4_  	2-DD1.4: 6
040T22001S37_4_A 	
040T22001S37_4_E 	2-DD1.4: 8
040T22001S37_4_B 	2-DD1.4: 9
040T22001S37_4_F 	2-DD1.4: 12
040T22001S37_5_H 	2-DD1.4: 13
040T22001S37_5_I 	2-DD1.4: 14
040T22001S37_5_C 	2-DD1.4: 15
040T22001S37_5_D 	2-DD1.4: 16
040T22001S37_5_T 	2-DD1.4: 17
040T22001S37_5_  	2-DD1.4: 18
040T22001S37_5_E 	
040T22001S37_5_B 	2-DD1.4: 22
040T22001S37_5_F 	2-DD1.4: 23
040T22001S61_6_H 	2-DD1.4: 24
040T22001S61_6_I 	2-DD1.4: 25
040T22001S61_6_C 	2-DD1.4: 26
040T22001S61_6_D 	2-DD1.4: 27
040T22001S61_6_T 	2-DD1.4: 28
040T22001S61_6_A 	2-DD1.4: 29
040T22001S61_6_  	2-DD1.4: 32
040T22001S61_6_B 	
040T22001S61_6_F 	2-DD1.4: 34
040T22441S66_8_H 	2-DD1.11: 2
040T22441S66_8_I 	2-DD1.11: 3
040T22441S66_8_C 	2-DD1.11: 4
040T22441S66_8_D 	2-DD1.11: 5
040T22441S66_8_T 	2-DD1.11: 6
040T22441S66_8_A 	2-DD1.11: 7
